loyalty_number,country,province,city,postal_code,gender,education,salary,marital_status,loyalty_card,clv,enrollment_type,enrollment_year,enrollment_month,cancellation_year,cancellation_month,total_flights,total_distance,total_points_accumulated,total_points_redeemed,total_redeemed_dollars,active_months,first_activity,last_activity,recency_months,avg_flights_per_month,points_redemption_ratio,distance_per_flight,official_churn,behavioral_churn,churn,salary_imputed,tenure_months,cluster,customer_segment
608758,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,63795.0,Married,Star,3890.96,Standard,2013,7,,,40,60258,60258.0,0,0,24,2017-01-01,2018-12-01,0.0,1.6666666666666667,0.0,1506.45,0,0,0,63795.0,65,3,Loyal Customers
599341,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,54890.0,Married,Star,3891.54,Standard,2015,11,,,58,102009,102009.0,1863,335,24,2017-01-01,2018-12-01,0.0,2.4166666666666665,0.0182630944328441,1758.7758620689656,0,0,0,54890.0,37,3,Loyal Customers
333502,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,,Married,Star,3891.58,Standard,2014,3,,,42,60437,60437.0,409,74,24,2017-01-01,2018-12-01,0.0,1.75,0.0067673775998146,1438.9761904761904,0,0,0,73455.0,57,3,Loyal Customers
201574,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,51375.0,Married,Star,3893.31,Standard,2015,4,2015.0,12.0,0,0,0.0,0,0,24,2017-01-01,2018-12-01,0.0,0.0,0.0,,1,0,1,51375.0,44,1,At-Risk Customers
403361,Canada,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,70222.0,Single,Star,3895.03,Standard,2017,10,,,19,21288,21288.0,0,0,24,2017-01-01,2018-12-01,0.0,0.7916666666666666,0.0,1120.421052631579,0,0,0,70222.0,14,1,At-Risk Customers
543918,Canada,Quebec,Montreal,H2T 2J6,Male,High School or Below,40736.0,Married,Star,3896.57,Standard,2012,11,,,52,76633,76633.0,3513,632,24,2017-01-01,2018-12-01,0.0,2.1666666666666665,0.0458418696906032,1473.7115384615386,0,0,0,40736.0,73,3,Loyal Customers
806030,Canada,Alberta,Calgary,T3E 2V9,Female,Bachelor,75861.0,Married,Star,3903.47,Standard,2018,5,,,14,26656,26656.0,567,102,24,2017-01-01,2018-12-01,0.0,0.5833333333333334,0.0212710084033613,1904.0,0,0,0,75861.0,7,1,At-Risk Customers
119200,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,69835.0,Divorced,Star,3903.8,Standard,2017,5,,,31,44595,44595.0,1004,180,24,2017-01-01,2018-12-01,0.0,1.2916666666666667,0.0225137347236237,1438.548387096774,0,0,0,69835.0,19,3,Loyal Customers
938981,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,,Single,Aurora,5337.35,2018 Promotion,2018,4,,,38,49606,74409.0,0,0,11,2018-02-01,2018-12-01,0.0,3.4545454545454546,0.0,1305.421052631579,0,0,0,73455.0,8,0,Frequent Travelers
238119,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,75980.0,Married,Star,3906.67,Standard,2013,5,,,50,78117,78117.0,611,110,24,2017-01-01,2018-12-01,0.0,2.083333333333333,0.0078216009319354,1562.34,0,0,0,75980.0,67,3,Loyal Customers
730388,Canada,Ontario,Thunder Bay,K8T 5M5,Male,College,,Single,Star,3907.03,Standard,2012,5,,,49,76504,76504.0,0,0,24,2017-01-01,2018-12-01,0.0,2.0416666666666665,0.0,1561.3061224489795,0,0,0,73455.0,79,3,Loyal Customers
834891,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,54460.0,Married,Star,3911.12,Standard,2017,3,2017.0,4.0,0,0,0.0,0,0,24,2017-01-01,2018-12-01,0.0,0.0,0.0,,1,0,1,54460.0,21,1,At-Risk Customers
127400,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,,Single,Star,3914.72,Standard,2014,6,,,29,37546,37546.0,528,95,24,2017-01-01,2018-12-01,0.0,1.2083333333333333,0.014062749693709,1294.6896551724135,0,0,0,73455.0,54,3,Loyal Customers
324557,Canada,Quebec,Montreal,H2Y 2W2,Female,College,,Single,Star,3914.72,Standard,2013,2,,,34,52567,52567.0,645,116,24,2017-01-01,2018-12-01,0.0,1.4166666666666667,0.0122700553579241,1546.0882352941176,0,0,0,73455.0,70,3,Loyal Customers
742002,Canada,Ontario,Toronto,P2T 6G3,Female,College,,Single,Star,3915.8,Standard,2016,5,,,28,54018,54018.0,537,97,24,2017-01-01,2018-12-01,0.0,1.1666666666666667,0.0099411307341997,1929.2142857142856,0,0,0,73455.0,31,3,Loyal Customers
536567,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,5,,,56,80852,80852.0,1245,224,24,2017-01-01,2018-12-01,0.0,2.333333333333333,0.0153985059120368,1443.7857142857142,0,0,0,80697.0,31,3,Loyal Customers
704835,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,9,,,40,62292,62292.0,1447,260,24,2017-01-01,2018-12-01,0.0,1.6666666666666667,0.0232293071341424,1557.3,0,0,0,80697.0,27,3,Loyal Customers
733338,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,6,2017.0,2.0,3,4497,4497.0,0,0,24,2017-01-01,2018-12-01,0.0,0.125,0.0,1499.0,1,0,1,80697.0,30,1,At-Risk Customers
758635,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2018,6,,,9,11980,11980.0,0,0,24,2017-01-01,2018-12-01,0.0,0.375,0.0,1331.111111111111,0,0,0,80697.0,6,1,At-Risk Customers
823048,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2018,5,,,18,17990,17990.0,0,0,24,2017-01-01,2018-12-01,0.0,0.75,0.0,999.4444444444443,0,0,0,80697.0,7,1,At-Risk Customers
612905,Canada,Ontario,Toronto,P2T 6G3,Female,College,,Married,Star,3920.51,Standard,2015,2,,,35,48796,48796.0,569,102,24,2017-01-01,2018-12-01,0.0,1.4583333333333333,0.0116607918681859,1394.1714285714286,0,0,0,73455.0,46,3,Loyal Customers
679908,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,77601.0,Married,Star,3921.02,Standard,2015,8,,,36,57423,57423.0,979,176,24,2017-01-01,2018-12-01,0.0,1.5,0.0170489176810685,1595.0833333333333,0,0,0,77601.0,40,3,Loyal Customers
704150,Canada,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,77601.0,Married,Star,3921.02,Standard,2014,10,,,36,45313,45313.0,966,174,24,2017-01-01,2018-12-01,0.0,1.5,0.0213183854522984,1258.6944444444443,0,0,0,77601.0,50,3,Loyal Customers
869743,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,73236.0,Single,Star,3924.42,Standard,2016,11,2017.0,7.0,15,16548,16548.0,0,0,24,2017-01-01,2018-12-01,0.0,0.625,0.0,1103.2,1,0,1,73236.0,25,1,At-Risk Customers
596179,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,50879.0,Single,Star,3933.81,Standard,2014,3,,,44,79867,79867.0,0,0,24,2017-01-01,2018-12-01,0.0,1.8333333333333333,0.0,1815.159090909091,0,0,0,50879.0,57,3,Loyal Customers
370450,Canada,Ontario,Thunder Bay,K8T 5M5,Female,High School or Below,62160.0,Married,Star,3934.1,Standard,2012,11,,,44,56131,56131.0,1382,249,24,2017-01-01,2018-12-01,0.0,1.8333333333333333,0.0246209759313035,1275.7045454545455,0,0,0,62160.0,73,3,Loyal Customers
501030,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,93541.0,Married,Star,3934.71,Standard,2017,3,,,26,32965,32965.0,0,0,24,2017-01-01,2018-12-01,0.0,1.0833333333333333,0.0,1267.8846153846157,0,0,0,93541.0,21,1,At-Risk Customers
878633,Canada,Ontario,Trenton,K8V 4B2,Female,Doctor,163974.0,Married,Star,3936.79,Standard,2013,12,,,44,57250,57250.0,0,0,24,2017-01-01,2018-12-01,0.0,1.8333333333333333,0.0,1301.1363636363635,0,0,0,163974.0,60,4,Premium Affluent Customers
285938,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,75827.0,Married,Star,3939.01,Standard,2014,9,,,40,63668,63668.0,607,109,24,2017-01-01,2018-12-01,0.0,1.6666666666666667,0.0095338317522146,1591.7,0,0,0,75827.0,51,3,Loyal Customers
588237,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,75827.0,Married,Star,3939.01,Standard,2013,11,,,33,31726,31726.0,2056,370,24,2017-01-01,2018-12-01,0.0,1.375,0.0648048918867805,961.3939393939394,0,0,0,75827.0,61,3,Loyal Customers
645280,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,75827.0,Married,Star,3939.01,Standard,2012,12,,,43,62923,62923.0,813,146,24,2017-01-01,2018-12-01,0.0,1.7916666666666667,0.0129205536926084,1463.3255813953488,0,0,0,75827.0,72,3,Loyal Customers
864324,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,75827.0,Married,Star,3939.01,Standard,2018,6,,,43,58388,58388.0,1686,304,24,2017-01-01,2018-12-01,0.0,1.7916666666666667,0.0288757963965198,1357.860465116279,0,0,0,75827.0,6,3,Loyal Customers
124678,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2013,6,,,51,74440,74440.0,304,55,24,2017-01-01,2018-12-01,0.0,2.125,0.0040838259000537,1459.6078431372548,0,0,0,152955.0,66,3,Loyal Customers
186015,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2015,9,,,41,60413,60413.0,1543,278,24,2017-01-01,2018-12-01,0.0,1.7083333333333333,0.0255408604108387,1473.4878048780488,0,0,0,152955.0,39,4,Premium Affluent Customers
461108,Canada,Quebec,Montreal,H2T 9K8,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2018,10,,,1,1209,1209.0,0,0,24,2017-01-01,2018-12-01,0.0,0.0416666666666666,0.0,1209.0,0,0,0,152955.0,2,1,At-Risk Customers
589580,Canada,British Columbia,Whistler,V6T 1Y8,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2015,8,,,52,78121,78121.0,1159,208,24,2017-01-01,2018-12-01,0.0,2.1666666666666665,0.0148359596011315,1502.326923076923,0,0,0,152955.0,40,3,Loyal Customers
623688,Canada,Ontario,London,M5B 3E4,Female,Doctor,152955.0,Married,Star,3954.34,Standard,2016,5,,,54,86566,86566.0,1839,331,24,2017-01-01,2018-12-01,0.0,2.25,0.0212439063835686,1603.074074074074,0,0,0,152955.0,31,3,Loyal Customers
386082,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,30486.0,Divorced,Aurora,5391.97,2018 Promotion,2018,3,2018.0,11.0,40,36882,55323.0,0,0,11,2018-02-01,2018-12-01,0.0,3.636363636363636,0.0,922.05,1,0,1,30486.0,9,0,Frequent Travelers
256147,Canada,Ontario,Toronto,M1R 4K3,Female,College,,Married,Star,3958.0,Standard,2012,9,,,46,71626,71626.0,339,61,24,2017-01-01,2018-12-01,0.0,1.9166666666666667,0.0047329182140563,1557.0869565217392,0,0,0,73455.0,75,3,Loyal Customers
329382,Canada,Quebec,Montreal,H2T 9K8,Male,College,,Single,Star,3961.59,Standard,2012,8,,,0,0,0.0,0,0,24,2017-01-01,2018-12-01,0.0,0.0,0.0,,0,0,0,73455.0,76,1,At-Risk Customers
140392,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,96814.0,Married,Star,3963.39,Standard,2013,7,,,32,45974,45974.0,1185,213,24,2017-01-01,2018-12-01,0.0,1.3333333333333333,0.025775438291208,1436.6875,0,0,0,96814.0,65,3,Loyal Customers
112522,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,49846.0,Married,Aurora,5636.74,2018 Promotion,2018,2,,,50,69086,103629.0,0,0,11,2018-02-01,2018-12-01,0.0,4.545454545454546,0.0,1381.72,0,0,0,49846.0,10,0,Frequent Travelers
230908,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,217538.0,Divorced,Star,3964.15,Standard,2012,5,,,49,66022,66022.0,822,148,24,2017-01-01,2018-12-01,0.0,2.0416666666666665,0.0124503953227711,1347.3877551020407,0,0,0,217538.0,79,4,Premium Affluent Customers
972581,Canada,British Columbia,Vancouver,V5R 1W3,Male,High School or Below,48744.0,Married,Star,3964.53,Standard,2016,2,,,28,30777,30777.0,1145,206,24,2017-01-01,2018-12-01,0.0,1.1666666666666667,0.0372031062156805,1099.178571428571,0,0,0,48744.0,34,3,Loyal Customers
357549,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,76410.0,Single,Star,3964.73,Standard,2018,9,,,0,0,0.0,0,0,24,2017-01-01,2018-12-01,0.0,0.0,0.0,,0,0,0,76410.0,3,1,At-Risk Customers
330694,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,105053.0,Married,Aurora,6172.91,2018 Promotion,2018,2,,,38,67690,101535.0,500,90,11,2018-02-01,2018-12-01,0.0,3.4545454545454546,0.0049244103018663,1781.3157894736842,0,0,0,105053.0,10,0,Frequent Travelers
910875,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,84914.0,Married,Star,3966.13,Standard,2012,11,,,32,51583,51583.0,483,87,24,2017-01-01,2018-12-01,0.0,1.3333333333333333,0.0093635500067851,1611.96875,0,0,0,84914.0,73,3,Loyal Customers
501704,Canada,Quebec,Hull,J8Y 3Z5,Male,College,,Divorced,Star,3974.86,Standard,2013,5,,,39,41150,41150.0,3593,647,24,2017-01-01,2018-12-01,0.0,1.625,0.0873147023086269,1055.128205128205,0,0,0,73455.0,67,3,Loyal Customers
529098,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,,Divorced,Star,3974.86,Standard,2017,10,,,24,36853,36853.0,1682,303,24,2017-01-01,2018-12-01,0.0,1.0,0.0456407890809432,1535.5416666666667,0,0,0,73455.0,14,1,At-Risk Customers
265297,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,60519.0,Married,Star,3978.67,Standard,2018,7,,,11,16640,16640.0,0,0,24,2017-01-01,2018-12-01,0.0,0.4583333333333333,0.0,1512.7272727272727,0,0,0,60519.0,5,1,At-Risk Customers
567875,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,102457.0,Married,Star,3979.72,Standard,2017,5,,,15,24199,24199.0,0,0,24,2017-01-01,2018-12-01,0.0,0.625,0.0,1613.2666666666669,0,0,0,102457.0,19,1,At-Risk Customers
688524,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,103862.0,Married,Star,3980.42,Standard,2013,3,,,24,40288,40288.0,3244,584,24,2017-01-01,2018-12-01,0.0,1.0,0.0805202541699761,1678.6666666666667,0,0,0,103862.0,69,3,Loyal Customers
269070,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Master,93153.0,Married,Star,3985.32,Standard,2013,1,,,42,56484,56484.0,1300,234,24,2017-01-01,2018-12-01,0.0,1.75,0.0230153671836272,1344.857142857143,0,0,0,93153.0,71,3,Loyal Customers
387705,Canada,Quebec,Hull,J8Y 3Z5,Female,Master,93153.0,Married,Star,3985.32,Standard,2013,4,,,45,68743,68743.0,1626,293,24,2017-01-01,2018-12-01,0.0,1.875,0.0236533174286836,1527.6222222222225,0,0,0,93153.0,68,3,Loyal Customers
923293,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,86793.0,Divorced,Star,3985.55,Standard,2016,6,,,41,52419,52419.0,850,153,24,2017-01-01,2018-12-01,0.0,1.7083333333333333,0.0162154943818081,1278.5121951219512,0,0,0,86793.0,30,3,Loyal Customers
283314,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,72127.0,Married,Star,3991.73,Standard,2013,4,2015.0,2.0,0,0,0.0,0,0,24,2017-01-01,2018-12-01,0.0,0.0,0.0,,1,0,1,72127.0,68,1,At-Risk Customers
322102,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,,Married,Star,3992.58,Standard,2013,8,2014.0,4.0,0,0,0.0,0,0,24,2017-01-01,2018-12-01,0.0,0.0,0.0,,1,0,1,73455.0,64,1,At-Risk Customers
789157,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,,Single,Star,3995.36,Standard,2018,9,,,3,6690,6690.0,0,0,24,2017-01-01,2018-12-01,0.0,0.125,0.0,2230.0,0,0,0,73455.0,3,1,At-Risk Customers
654748,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,65721.0,Married,Star,3996.77,Standard,2017,4,2017.0,12.0,12,16433,16433.0,0,0,24,2017-01-01,2018-12-01,0.0,0.5,0.0,1369.4166666666667,1,0,1,65721.0,20,1,At-Risk Customers
984713,Canada,Ontario,Sudbury,M5V 1G5,Female,College,,Single,Star,3997.48,Standard,2018,8,,,5,9871,9871.0,556,100,24,2017-01-01,2018-12-01,0.0,0.2083333333333333,0.0563266133117212,1974.2,0,0,0,73455.0,4,1,At-Risk Customers
114835,Canada,Ontario,Toronto,M1R 4K3,Female,Master,101354.0,Divorced,Star,4001.52,Standard,2017,7,,,30,42008,42008.0,0,0,24,2017-01-01,2018-12-01,0.0,1.25,0.0,1400.2666666666669,0,0,0,101354.0,17,3,Loyal Customers
328936,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,53118.0,Married,Star,4005.72,Standard,2015,3,,,45,64695,64695.0,906,163,24,2017-01-01,2018-12-01,0.0,1.875,0.0140041734291676,1437.6666666666667,0,0,0,53118.0,45,3,Loyal Customers
845864,Canada,British Columbia,Vancouver,V5R 1W3,Female,Doctor,115440.0,Married,Star,4013.85,Standard,2013,4,,,41,54793,54793.0,1376,248,24,2017-01-01,2018-12-01,0.0,1.7083333333333333,0.0251126968773383,1336.4146341463415,0,0,0,115440.0,68,3,Loyal Customers
645265,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,73313.0,Married,Star,4013.95,Standard,2013,3,,,32,45483,45483.0,381,69,24,2017-01-01,2018-12-01,0.0,1.3333333333333333,0.0083767561506496,1421.34375,0,0,0,73313.0,69,3,Loyal Customers
223587,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,100167.0,Married,Star,4013.96,Standard,2017,8,,,28,45681,45681.0,554,100,24,2017-01-01,2018-12-01,0.0,1.1666666666666667,0.0121275803944747,1631.4642857142858,0,0,0,100167.0,16,3,Loyal Customers
158560,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,59262.0,Married,Star,4014.45,Standard,2015,12,,,33,47353,47353.0,1743,314,24,2017-01-01,2018-12-01,0.0,1.375,0.0368086499271429,1434.939393939394,0,0,0,59262.0,36,3,Loyal Customers
417584,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,59262.0,Married,Star,4014.45,Standard,2014,5,,,36,52014,52014.0,607,109,24,2017-01-01,2018-12-01,0.0,1.5,0.0116699350174952,1444.8333333333333,0,0,0,59262.0,55,3,Loyal Customers
566033,Canada,Ontario,Toronto,M2P 4F6,Male,College,,Married,Star,4015.21,Standard,2015,6,2016.0,7.0,0,0,0.0,0,0,24,2017-01-01,2018-12-01,0.0,0.0,0.0,,1,0,1,73455.0,42,1,At-Risk Customers
